chr.type,chr,loc.name,pos,mQTL.lod,mQTL.asymp.p,vQTL.lod,vQTL.asymp.p,mvQTL.lod,mvQTL.asymp.p,m__est__(Intercept),m__est__Env,m__est__mean.QTL.add,m__est__mean.QTL.dom,m__est__Env:mean.QTL.add,m__est__Env:mean.QTL.dom,m__se__(Intercept),m__se__Env,m__se__mean.QTL.add,m__se__mean.QTL.dom,m__se__Env:mean.QTL.add,m__se__Env:mean.QTL.dom,v__est__(Intercept),v__est__Env,v__est__var.QTL.add,v__est__var.QTL.dom,v__est__Env:var.QTL.add,v__est__Env:var.QTL.dom,v__se__(Intercept),v__se__Env,v__se__var.QTL.add,v__se__var.QTL.dom,v__se__Env:var.QTL.add,v__se__Env:var.QTL.dom
A,1,gpm27,0.01,1.9474613266668708,0.7454217050412472,4.991869188030463,0.28813278525090674,8.218818915464876,0.412392549820274,71.05228976680569,-1.5652710980963707,-1.1283141329047017,45.24187837671631,0.03309384105799782,9.832384904286643,0.6035920250177707,0.11402481857040768,0.38478652160691823,59.54743331104866,0.07230012036049731,11.740872074473971,5.5438754258682525,-0.057609735276732355,-0.03285932354811166,-33.142961347118415,-0.014966365559220034,5.69100866728859,0.08375949650365422,0.0165336612538291,0.05574614757095311,9.455866198323992,0.01099120515331765,1.8679213088422741
A,1,tub1,0.81,2.9644276784782053,0.5637958843613954,8.796240923406193,0.06639924245544923,12.0970184846805,0.1469273690425189,71.58556951617385,-1.6400843877701252,-1.4497713213768033,93.54017089992011,0.09017057171307594,80.05510438551882,0.5793788574321888,0.1099296397549078,0.39058994870084984,89.14255348322301,0.0731930388545525,19.053705935815138,5.4840653347517625,-0.04584230817598317,-0.02596892525432249,-158.3276207550035,-0.014793107799210567,12.81966077372882,0.08327315890636772,0.016444372801863623,0.057994096571149616,29.54611836210907,0.01143421149590952,5.8988149328310495
A,1,gpm113b,0.82,7.1724586420421765,0.12705043653999562,0.7205819353688303,0.9487667041044963,9.442527808249196,0.3063498644041023,71.56195425021254,-1.637089592173656,-1.6066377312636013,3758.917577437034,0.1332927669704395,-435.10493313268563,0.57928765294831,0.10991915894772064,0.38450121088488526,789.7852012578335,0.07239702880111062,134.65095090859958,5.483102772625177,-0.045689730702772484,-0.06993607333679154,81.49265897345614,-0.00864244905903255,-23.14481608899842,0.0840369053882596,0.01659516507155073,0.058193957251037876,123.84046171255153,0.011478001379732494,23.976925476086944
A,1,gpm705a,0.84,7.842290295753099,0.09752915784929037,0.7746107377905427,0.9418190757931103,10.157266432612749,0.25416097277936006,71.56446415137225,-1.6478405883891822,-1.6720283928784025,1464.8329882122475,0.15613179852386158,-198.55833409909349,0.5790260434373352,0.1098383612459276,0.3850374416629277,300.15674560944086,0.07249232288298042,52.81547882365317,5.484324106502696,-0.045801302986275626,-0.07234391176604076,27.91101796242789,-0.008529569034740107,-6.793079093115602,0.08372985897583463,0.016534414592791757,0.05816214158521413,45.845379884131916,0.01147081127142725,8.945531374395921
A,1,gpm325a,4.97,7.909401215152702,0.09495389092360061,1.1875052240667043,0.8801514859610935,10.37957421202544,0.23938866387808266,71.96868415628005,-1.7713770315325674,-1.8950246095954433,32.28940788342147,0.24737395938263007,-3.112025222256777,0.5869631648855004,0.11129503419120439,0.3845506574769168,8.954439707166193,0.07243450242090195,1.524407895020921,5.509300489528253,-0.04832603714555552,-0.09290108892510501,0.4083231122251947,-0.00609203865391601,-0.2738490742944113,0.08239382296572893,0.016299717078123846,0.056681136289438695,1.4358411308728187,0.011183677011581112,0.2772125176144145
A,1,dmt103b,6.89,6.1358740012571715,0.1892283089409531,3.841566856148264,0.4278718472738219,11.193611006380873,0.19096841900222722,72.29809931349223,-1.758851809124856,-1.8303711194645893,-4259.75509118325,0.21575484926818098,179.03594993873736,0.5971557161047235,0.11250693628754271,0.3849449583964048,1925.827595829266,0.07213390430764739,329.62215002176833,5.518033324397294,-0.04635839048560133,-0.13416276778776628,674.4951980927516,0.0020281068189734936,-219.57974483407102,0.09038274761247492,0.01787330323491699,0.061577739282371334,313.01737033223924,0.012147605905720442,61.392711441673804
A,1,gpm699d,8.67,5.980254512111612,0.20062773918864907,2.9946445270238504,0.5587220256465,10.03835688965937,0.2623440818403684,72.20124677064497,-1.9261139962797036,-2.0289867565770656,31.763992120818656,0.30923316166762044,201.46675684037095,0.6380250837623128,0.1207145089314314,0.3943879777904772,321.26609879569725,0.07415586705947788,61.42219085953638,5.5896776654307185,-0.05356194187388683,-0.12194976181071018,-120.25546377472992,-0.006992045621549919,7.373003611280171,0.08665229335099478,0.01716588539073439,0.057025588993931425,52.45558249538638,0.011258043137662413,10.333480314954883
A,1,gpm319,14.82,6.742656074232103,0.1501288767368097,4.411996160571231,0.35311036404716867,11.930385305077882,0.15433705175204107,72.18086884656557,-1.7097307469153038,-1.9846587762073753,12.316920598713464,0.2143296505371657,-4.26347265413432,0.6240007210631594,0.11713259285199414,0.39373933231326014,5.26466602537183,0.07390528105168095,0.9497807033989434,5.578448350853328,-0.05688233296159161,-0.160061706573583,1.1563676921822437,0.0018823130610337842,-0.2512702795748093,0.08421390462367764,0.016625549304430557,0.056605729685582584,0.6959997570347486,0.011155511343236382,0.14219983248383297
A,1,IDP1447,19.92,1.2033820292473978,0.8775414753991173,7.7614483262982406,0.10071801876045595,9.066902485614385,0.33668363581697724,70.83008788223565,-1.7305184539813188,-0.7065297799909191,-11.222898490763535,0.1976584679664218,4.090883319238779,0.5762574089736165,0.10689205922161796,0.38432532353522536,6.467584332116133,0.0720097646393169,1.2801329888243127,5.622439549100285,-0.06718044457940707,-0.1979200400329236,-4.151313925510266,0.009478208379467919,0.30042416361616775,0.08272042611545381,0.016269751791555598,0.05991433529695395,1.5739916976810293,0.011822491755595388,0.30479756937170416
A,1,bnl5.62a,21.12,1.2776238457565188,0.8651603782601918,5.637384227574913,0.2279146349195449,7.339164791203381,0.5005200968333747,71.06735610154765,-1.7952897103767047,-0.7501064825813334,-133663.8915072951,0.2148668057734582,35998.280251357246,0.6159367883825095,0.11406200405998505,0.3866141600910262,72513.97691778958,0.07240387282384253,13491.8502308073,5.654943998679586,-0.06645286900152249,-0.21330506249734987,-16362.252777746315,0.00995818556283293,-376.59547023326644,0.08864673263271441,0.01738255512695136,0.060786654251568865,12147.530299191927,0.011982135934823427,2393.402092907234
