"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__Low.Water","m__est__Low.Nitrogen","m__est__Pathogen","m__est__mean.QTL.add","m__est__Low.Water:mean.QTL.add","m__est__Low.Nitrogen:mean.QTL.add","m__est__Pathogen:mean.QTL.add","m__se__(Intercept)","m__se__Low.Water","m__se__Low.Nitrogen","m__se__Pathogen","m__se__mean.QTL.add","m__se__Low.Water:mean.QTL.add","m__se__Low.Nitrogen:mean.QTL.add","m__se__Pathogen:mean.QTL.add","v__est__(Intercept)","v__est__Low.Water","v__est__Low.Nitrogen","v__est__Pathogen","v__est__var.QTL.add","v__est__Low.Water:var.QTL.add","v__est__Low.Nitrogen:var.QTL.add","v__est__Pathogen:var.QTL.add","v__se__(Intercept)","v__se__Low.Water","v__se__Low.Nitrogen","v__se__Pathogen","v__se__var.QTL.add","v__se__Low.Water:var.QTL.add","v__se__Low.Nitrogen:var.QTL.add","v__se__Pathogen:var.QTL.add"
"1","A","1","gpm27",0.01,6.43012021289691,0.169246972520915,0.251223994457088,0.992741360156266,6.69746931516671,0.56959711526445,71.0176603044836,5.06398736066536,-16.5055200247576,-2.0028761696415,-1.53946328423474,-0.333859942229709,1.02225530916458,0.317308787929519,0.403819260510643,0.40503890276402,0.399438990768663,0.395247329950997,0.276379348454135,0.277525002032402,0.274832930296494,0.273103634439772,4.79331307561647,-0.472092429277571,0.412127225915906,0.208842151809215,-0.0387719097143634,0.120930624547394,-0.104365214910392,-0.0416213238043845,0.0815023503842781,0.0800760302143649,0.0799536887946424,0.0800692463332586,0.0569802852622995,0.0562521924472879,0.0561889690903631,0.0562479858680449
"2","A","1","tub1",0.81,5.44093542304997,0.244970294619695,0.378279078092625,0.984216318810886,5.8611091949715,0.662786345828004,70.9136431168469,5.24534963887706,-16.795324724573,-2.00950200155323,-1.39980174944289,-0.50296501583036,1.2811572659062,0.295713249184201,0.408079506808807,0.409350642401303,0.403182506925481,0.399841402669307,0.27396465020742,0.275136184730308,0.272331567623575,0.2707758880752,4.80262482098419,-0.464060202429493,0.3919778679227,0.218908395465415,-0.0473261503099074,0.109193411413909,-0.0803231347791524,-0.0478796212317187,0.0783433156000382,0.0769730384363001,0.0768538909963139,0.0769652719894488,0.0538805176760626,0.0531700629631664,0.0531097420299934,0.0531658027253441
"3","A","1","gpm113b",0.82,5.42976245027656,0.245972750581618,0.380241584056264,0.984062385392857,5.85279125594277,0.663717321662716,70.9121006184897,5.24794919211358,-16.7993583504825,-2.00933013482791,-1.39792271830298,-0.505326164994584,1.2847056259671,0.29522851126865,0.408099622724455,0.409368483179431,0.403195624185921,0.39986850319236,0.273899023214101,0.275071259704107,0.272268133206493,0.270716395798023,4.80273863080803,-0.46389747253339,0.39164905001488,0.219004808363098,-0.0474439474779214,0.108995467335318,-0.0799521029643183,-0.0479209706559327,0.0783787086897619,0.0770078104613755,0.0768886075104945,0.0770000406586903,0.0538917486169513,0.0531811923856217,0.0531208932964645,0.0531769283463147
"4","A","1","gpm705a",0.84,5.91993684743557,0.205207755350936,0.456844351616592,0.977563904520238,6.40784253931008,0.601646894721004,70.970537911273,5.23410127330998,-16.8965831925337,-2.0028710888272,-1.46475978069832,-0.495225251831522,1.39142262744361,0.289487534338526,0.407464518334372,0.408534923455379,0.401889355088941,0.398969504855928,0.274982040624085,0.276059558571725,0.273202985739112,0.271629132713998,4.80556308439586,-0.46877288365777,0.384683915103681,0.221777792053326,-0.052288245141599,0.115352002318434,-0.0718935839398974,-0.0516125819589944,0.0808387312858753,0.0794445373389422,0.0793194831471212,0.0794362876816951,0.05595113241737,0.0551832519641868,0.0551231662330621,0.0551796141519979
"5","A","1","gpm325a",4.97,7.75390105499034,0.101020643204375,1.47308824061608,0.831397615831652,9.28737170660644,0.318636702564699,71.2053207107251,5.31247457673016,-17.3268946483341,-2.20795013819213,-1.67174160145578,-0.551209366186523,1.77886620134651,0.473894598071762,0.412290807549173,0.412987502825852,0.404701469926378,0.403697914129436,0.273961746127473,0.275619619085237,0.272587267347482,0.271398314926593,4.84140393342298,-0.477329325781846,0.346209120267849,0.216013513051981,-0.0935696232619393,0.122235194457217,-0.0280412490503483,-0.0423670887675823,0.0830467239105327,0.0819662001931879,0.0818220905660649,0.0819573847027096,0.0572642761136661,0.0565907271988199,0.056524075658411,0.0565859553240081
"6","A","1","dmt103b",6.89,8.05380970089475,0.0896268450791559,1.62740336239274,0.803858679826661,9.77681487618655,0.281041391636267,71.2517723785096,5.34714058944814,-17.3808392743114,-2.20537120283475,-1.70913122872091,-0.587329627856418,1.82768713118619,0.464792092423029,0.413866496464647,0.414181431087117,0.405557714194207,0.404694195974509,0.274684537449125,0.276178272455724,0.273012510065193,0.27186118020497,4.84435245359329,-0.479209671849735,0.345755675953769,0.21632248903628,-0.0981850999667078,0.122725930738579,-0.0251522508790866,-0.0424330547607824,0.0861917934143067,0.084981447359376,0.0848244487301113,0.0849739626363876,0.0594568174861669,0.0587068594514249,0.058633863527655,0.058702835364534
"7","A","1","gpm699d",8.67,8.26580717137302,0.082312517612002,1.58802979839736,0.810941929845168,9.9114844776018,0.271293619338409,71.2786198442514,5.3142039137474,-17.3471934578955,-2.19892113098037,-1.73965321439248,-0.559239928770833,1.80167758838509,0.461359084503475,0.413859226075136,0.414221020976175,0.40564579927246,0.404650042067966,0.275787543880461,0.277355770327492,0.274189969864945,0.272991061219401,4.84314510300436,-0.480796828884682,0.348838529532558,0.215406105447578,-0.0972111136387816,0.124685961302188,-0.0281398325547815,-0.0422351931360155,0.0848567011550129,0.0836714403490406,0.0835160986129723,0.0836640275984186,0.0587452975446571,0.0580199112458029,0.0579476233153653,0.0580157945838796
"8","A","1","gpm319",14.82,10.058849527541,0.0394479517453493,2.37505447666435,0.667139941750577,12.66185878199,0.124025738998036,71.6254161529997,5.221279097982,-17.7198952184431,-1.88443411356431,-1.9435693388717,-0.451533424919852,2.02314586719857,0.168355326011756,0.432792239853978,0.435040460076348,0.428105501186592,0.425637711049143,0.279586702678089,0.281665977717865,0.278884727259435,0.277023698536934,4.8608137753064,-0.457482883795184,0.368727150778353,0.190618402375619,-0.121072542597245,0.101869121272079,-0.0370305940853071,-0.01467413160893,0.0841448262498385,0.0832508293145992,0.083180670164978,0.0832547062537979,0.0568732165726577,0.0562056011812558,0.0561628558652472,0.0562061811862348
"9","A","1","IDP1447",19.92,0.830808044755815,0.934270746896535,6.13283186221354,0.189445494041378,7.06878524455868,0.529229796774835,69.9501470392653,4.92488067269328,-16.8316733544936,-1.76055152981061,-0.545352092119118,-0.201926180038981,1.42110172179686,0.12918006755993,0.40651536912776,0.404641021897076,0.39707187004803,0.396591643042892,0.272872666003827,0.274430249233685,0.27184510846333,0.270990195193072,4.93349756091774,-0.408273647381414,0.267212547861938,0.166131707020464,-0.192499291668073,0.0762212586665677,0.0230203452314929,0.0156392409638719,0.0746761912136529,0.0736572407597219,0.0735913821057515,0.0736586332244586,0.0543105519310656,0.0536640631212095,0.0536070672838325,0.0536599579409964
"10","A","1","bnl5.62a",21.12,0.859533754986661,0.930293204150318,5.95246615929585,0.20272636378058,6.91295398383884,0.546052823755442,69.9551052774992,4.89487293983771,-16.7827964315741,-1.76844007895434,-0.552131740333569,-0.17270081763195,1.37839898780476,0.135402950707002,0.404274496546473,0.402228926804179,0.394532903235921,0.394006917187861,0.271714279583905,0.273141680003613,0.270514484141849,0.269660722725086,4.93065669998291,-0.412009030416599,0.269945912746073,0.167230726729576,-0.189466339586513,0.0805077873366509,0.0197419960522528,0.0139736863440727,0.0740508646021208,0.0729949572146518,0.0729312401873923,0.072996739214912,0.0538839532493492,0.0532134799422211,0.053157995408336,0.053209932746286
