"","chr.type","chr","loc.name","pos","mQTL.lod","mQTL.asymp.p","vQTL.lod","vQTL.asymp.p","mvQTL.lod","mvQTL.asymp.p","m__est__(Intercept)","m__est__mean.QTL.add","m__se__(Intercept)","m__se__mean.QTL.add","v__est__(Intercept)","v__est__var.QTL.add","v__se__(Intercept)","v__se__var.QTL.add"
"1","A","1","gpm27",0.01,1.31965161566174,0.250654584346,1.18160201313366,0.277030098710079,2.39915121643891,0.301322063387724,7553719.7693437,-1550865.26235817,843637.069460289,625767.344799419,30.8458909564676,0.365304046472764,0.33329444350892,0.21035667781744
"2","A","1","tub1",0.81,1.0090891660656,0.315121145537655,1.33367835727666,0.248151886978979,2.14570420528746,0.342031615693568,7305945.62183496,-1330532.88765667,840577.770017338,615802.127324349,30.819038884222,0.384963627831522,0.330807042441868,0.204704469205445
"3","A","1","gpm113b",0.82,1.00669138253618,0.31569678820041,1.33607844747679,0.247726727640009,2.14318888697261,0.342462045497431,7303537.59586987,-1328586.07575996,840470.941853136,615621.274794483,30.8187828948502,0.385125023608439,0.33020853244645,0.204269421057676
"4","A","1","gpm705a",0.84,1.00666360812522,0.315703464141602,1.336060599199,0.247729886046643,2.14314621255557,0.342469352759464,7303538.79470626,-1328585.28364826,840480.462372782,615629.596694291,30.818780578587,0.385127709174634,0.330206054388766,0.204268558964127
"5","A","1","gpm325a",4.97,0.463655413061198,0.495920547875619,1.06112004577964,0.302959867465612,1.41863693922662,0.491979382127269,6837786.04341333,-916424.248136102,912778.60561873,629337.350789223,30.8624622047196,0.355394348689574,0.339655372445899,0.203996966110619
"6","A","1","dmt103b",6.89,0.363982063834932,0.546302973549273,1.02343723433175,0.311705072718624,1.33506875782383,0.512971813937768,6728315.90263967,-825724.909896818,934088.919005354,641489.058508807,30.8636453951797,0.354523558713065,0.356501008204518,0.214044004533738
"7","A","1","gpm699d",8.67,0.39064197238563,0.531962146752799,1.01079311348143,0.314712908533697,1.36744334823011,0.50473503321042,6773630.39467532,-859110.600328247,934258.352037414,644074.129590444,30.8649371613978,0.354218954606484,0.36917452465871,0.222656695627095
"8","A","1","gpm319",14.82,0.0740359682722027,0.785548579435748,0.0755761458578082,0.783384492991894,0.141999034257854,0.931462341903704,4941188.83507477,422436.404636219,1221829.50678757,729199.129732347,31.2699221421315,0.0966825848630534,0.410875352186675,0.238754331175878
"9","A","1","IDP1447",19.92,1.24189116076669,0.265106892086572,0.0667033691035824,0.796198573106002,1.40567241646116,0.495178879863952,3244982.87907089,1724865.49310878,1196679.99652239,710910.0055494,31.4666237174024,-0.08239694336502,0.401734399085059,0.244811234171386
"10","A","1","bnl5.62a",21.12,1.24237911075686,0.265013033341471,0.0667637715869129,0.796108353343295,1.40619163961628,0.495050342379409,3244541.41401808,1725131.83149928,1196694.83145536,710885.324258642,31.4666518173426,-0.0824325118643221,0.401849743552934,0.244872746262926
"11","A","1","IDP1464",21.17,1.24238612287774,0.265011684838774,0.0667687425504495,0.796100930436289,1.4062066638506,0.495046623517205,3244533.68035995,1725137.65178743,1196696.68650981,710885.636478734,31.4666556021851,-0.0824358354718779,0.401856102203217,0.244876589193263
"12","A","1","fus6",22.62,1.10558101556096,0.293044558891102,0.189988266744951,0.662926383180149,1.44835908844886,0.484722098900783,3086467.89271497,1754970.53385058,1331816.50463106,766216.312763692,31.5552341816114,-0.142562480641685,0.461765052239006,0.275673524076825
"13","A","1","AY109692",23.62,1.07919963512572,0.298876672076205,0.18636522789732,0.665959182946866,1.42207888914501,0.491133426073573,3115748.55466653,1737503.42260246,1331085.22639779,767356.988755821,31.554371668786,-0.141350988689286,0.438210571206119,0.262059357743067
"14","A","1","mmp102",24.42,1.63373549577842,0.201187154562024,0.0573824936501139,0.810681895800651,1.86806541962819,0.392965793707146,2690884.27656756,2049430.16234653,1241650.31898102,725593.579749115,31.4446990868709,-0.0784420729646423,0.380687686171848,0.227416178743039
"15","A","1","AY110314",29.42,0.946453046671942,0.330623790049444,0.11557174214278,0.733887824571597,1.15028733123778,0.56262403327051,3519016.33052459,1521808.59062714,1224740.19753735,722456.766728015,31.5129480357461,-0.108185269825055,0.391070964208037,0.238386205895799
"16","A","1","umc94a",38.62,1.50082112726317,0.220545061301117,1.10189525038736,0.293850552017637,2.67363323191305,0.262680552075882,3691397.35617716,1755225.64804139,1092396.42600082,660528.438109733,31.6378984231873,-0.318172861159192,0.295885634714233,0.202444364632647
"17","A","1","gpm331",38.71,1.50426709759591,0.22001596482064,1.10292113128178,0.29362593072611,2.68267697902445,0.261495425349845,3686395.38229403,1758790.24930749,1093187.33456319,661000.694554318,31.6380746658023,-0.318462950977672,0.295721614764848,0.202329600040368
"18","A","1","lim179",47.02,1.4802132808097,0.223741155524448,1.31078364169451,0.252252821782239,2.90348324653966,0.234162110570555,3648993.52887288,1776004.31497474,1119801.04420107,672271.658347587,31.6660238616843,-0.350186232362332,0.304318104417683,0.208135926072802
"19","A","1","IDP755",52.47,0.356362769691571,0.550533232265185,0.852161680322361,0.355941527356938,1.24340517331046,0.537029319828681,4588443.76286842,880353.114775985,1142539.33926675,690302.773878156,31.6755062744412,-0.28041553158238,0.373471350219421,0.250750993572322
"20","A","1","AY107629",54.63,0.344443549192387,0.557275482240121,0.845463663748666,0.357838821005301,1.21137441411658,0.545699289352631,4613125.11459775,860498.070836797,1136495.77915237,686753.702275694,31.6732853532107,-0.278382925228401,0.384590832483655,0.258250143261729
"21","A","1","mmp49",56.12,0.403185204109411,0.525448852622404,0.930144236319231,0.334825448167775,1.34664829053131,0.51001040818524,4526346.60325892,937332.578285083,1146841.04377753,691210.915603064,31.6878270369396,-0.29727255802547,0.358097742455908,0.241139493770477
"22","A","1","cdo1081a",57.82,0.659521879558096,0.4167287885167,1.0819911536371,0.298252548045691,1.79609903380167,0.407363440867238,4127205.2615524,1231266.90622517,1202134.32976549,706807.433401437,31.7133160550893,-0.321599623740708,0.430096852264717,0.282123971989439
"23","A","1","asg31",65.22,1.80947012919327,0.178571805939542,3.16257369757986,0.0753443136591814,5.17274593160876,0.0752926343916684,3416174.82408667,1974722.43149573,1183853.01623962,670207.997951609,31.7766569539704,-0.543974956243681,0.318575216828419,0.215856223233058
"24","A","1","npi415",66.02,1.75359120156269,0.185425904520835,3.04967524901243,0.0807532886597419,5.02721929026585,0.0809754185439992,3463190.43756038,1954093.20260171,1177485.62515285,673677.828094654,31.7688370597203,-0.535438739263404,0.335450975975094,0.229258229286813
"25","A","1","ufg31",71.62,1.58077142532711,0.208649610898395,2.55109963181739,0.11021751987041,4.11090510432279,0.128034880002882,3778037.59467494,1776686.624533,1107055.1840724,651202.54029545,31.7272676255474,-0.493074550011084,0.316141114181226,0.223840394213922
"26","A","1","gpm330",71.91,1.58478665418198,0.208072559662894,2.55144484816826,0.110193441821356,4.11239944972593,0.127939251565623,3776009.27062641,1778988.61474579,1106845.36112802,651225.176905295,31.7270784952636,-0.493124224303279,0.315317631332985,0.223314740874965
"27","A","1","ufg33",72.02,1.89752832606557,0.168355239091019,2.24567684969536,0.133988268694325,4.02778077069107,0.133468419744648,3735232.95545404,1911440.96984238,1056247.06228327,637860.739208109,31.6804223915812,-0.464534698438406,0.296519878207435,0.216391397119258
"28","A","1","ufg32",72.82,1.89711579776198,0.168401508615865,2.2455522223291,0.133999063799477,4.02305299587074,0.13378429726409,3737418.1961206,1910208.17066546,1055664.29931403,637555.701186485,31.6801045993715,-0.464328449812063,0.297199206610491,0.216923958788347
"29","A","1","ufg34",74.42,1.89703630470012,0.16841042630009,2.23695067649132,0.134746476626541,4.01633893132612,0.134234170163962,3740377.08355299,1909202.5797312,1054711.2027482,637215.811078738,31.6792156006719,-0.463489755629357,0.29851237085648,0.217958028447788
"30","A","1","AY108650",77.57,1.79028786110462,0.180891093858623,2.4711623535137,0.115952147968404,4.14556861626418,0.125834930272792,3700352.222154,1888106.9212209,1088101.2319739,649600.502691019,31.7094417383864,-0.487248860759103,0.288346764052632,0.20764357684971
"31","A","1","gpm495",80.45,1.52503295210212,0.216859443490709,2.55582606543648,0.10988836394992,4.08382638987985,0.129780178428051,3810782.62864723,1740973.13753632,1108572.27714694,649725.492111206,31.7293939619879,-0.492239768371702,0.318519662199093,0.224693137670088
"32","A","1","gpm83b",80.75,1.48756115874019,0.222595245702276,2.55669348857385,0.109828072764243,4.07546645000062,0.130323791023285,3831836.39430177,1717844.65333324,1110075.46986724,648955.952062204,31.7309476712871,-0.491681773347057,0.304155058479767,0.214012437770487
"33","A","1","gpm767",80.94,1.4875490684076,0.22259712542284,2.55668386611251,0.109828741384337,4.07544721837612,0.130325044198416,3831846.18738087,1717833.96518041,1110074.45653983,648954.590461141,31.7309465453494,-0.491679366947456,0.304151048791094,0.214009287875314
"34","A","1","bnlg1014",81.12,1.48580119396835,0.222869072820351,2.55318983130165,0.110071821729687,4.06421983863261,0.131058705927089,3834947.32848402,1715502.3826959,1109361.56255634,648545.632067959,31.7305615470529,-0.491216151513023,0.302838042165256,0.213086994631227
"35","A","1","umc1363a",82.02,1.48596212518427,0.222844017316243,2.55150926211956,0.11018894973631,4.06367499054169,0.131094414333644,3834077.50646331,1716044.40105872,1109602.90603784,648702.443395091,31.7307370005525,-0.491241639190412,0.303202668750036,0.213343004864909
"36","A","1","gst12",83.52,1.48611605278459,0.222820055366091,2.55215182792652,0.110144149654857,4.0640804888874,0.131067837743854,3834325.55821528,1715956.31037542,1109491.41341685,648639.666261583,31.7306468066905,-0.491229283558452,0.303071150450599,0.213253280366142
"37","A","1","umc1269",84.62,1.48586127437102,0.22285971846194,2.55282628420812,0.110097147694283,4.06431011508309,0.131052790303213,3834705.27181477,1715661.02991632,1109427.47718049,648587.139625858,31.7306049758789,-0.49122654540666,0.302930695810452,0.213151728823308
"38","A","1","umc2012",85.72,1.48441705626333,0.223084709613693,2.55287150314166,0.110093997236002,4.06302864296365,0.131136787458816,3835985.26659502,1714775.11651185,1109306.69177717,648573.568860645,31.7305140542815,-0.491178253035493,0.302519241456455,0.212879429282452
"39","A","1","umc1977",87.52,1.91093798531991,0.166859102957224,1.99819151152777,0.157487013682544,3.81407925383476,0.148519409300878,3819042.31134464,1878639.91757231,1027487.12616326,624516.785038841,31.6542314522851,-0.438774357544842,0.325254932826752,0.238399685450499
"40","A","1","IDP553",88.91,1.9107188015928,0.166883434879332,1.99802684901074,0.15750412609789,3.8138193144181,0.148538713579644,3819169.48428254,1878552.87529739,1027479.56835037,624524.008855507,31.6542224382886,-0.438760301619092,0.325177970035404,0.238346426565095
"41","A","1","IDP4043",89.33,1.91074015124544,0.166881064643041,1.9980486258962,0.157501862831848,3.8137998654647,0.148540158047927,3819126.54684107,1878572.20583697,1027488.8773105,624527.401217312,31.6542327582647,-0.438765849299792,0.325208983757233,0.23836856988415
"42","A","1","php20603",90.02,1.7812854841683,0.181991555587481,2.32978727811395,0.126919220241484,4.09128386431466,0.129297163324493,3619990.91102041,1926406.14183643,1111827.35873252,663675.401332593,31.7227509716276,-0.485426813505041,0.284669342621172,0.203639575233043
"43","A","1","sgb101",90.74,0.768655453582027,0.380633320156661,0.362457606474472,0.547144501782791,1.15872500254158,0.560255414859399,4119064.97739341,1307966.57474236,1097290.32273663,695269.164876816,31.5753830281324,-0.188265708724031,0.382428119661203,0.26077092342043
